# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
NVDA,US,4.766000,NVIDIA Corp
AAPL,US,4.235300,Apple Inc
MSFT,US,3.486600,Microsoft Corp
AMZN,US,2.332500,Amazon.com Inc
GOOGL,US,1.867700,Alphabet Inc
2330.TW,TW,1.703700,Taiwan Semiconductor Manufacturing Co Ltd
AVGO,US,1.594700,Broadcom Inc
GOOG,US,1.438200,Alphabet Inc
META,US,1.165700,Meta Platforms Inc
MU,US,1.000400,Micron Technology Inc
TSLA,US,0.995300,Tesla Inc
JPM,US,0.878500,JPMorgan Chase & Co
LLY,US,0.854800,Eli Lilly & Co
005930.KS,KR,0.811100,Samsung Electronics Co Ltd
AMD,US,0.708600,Advanced Micro Devices Inc
BRK-B,US,0.703200,Berkshire Hathaway Inc
000660.KS,KR,0.629500,SK hynix Inc
XOM,US,0.617600,ExxonMobil Holdings Corp
ASML.AS,NL,0.602100,ASML Holding NV
JNJ,US,0.591400,Johnson & Johnson
V,US,0.578200,Visa Inc
MA,US,0.441600,Mastercard Inc
WMT,US,0.426000,Walmart Inc
ABBV,US,0.418200,AbbVie Inc
CSCO,US,0.403100,Cisco Systems Inc
COST,US,0.387400,Costco Wholesale Corp
PLTR,US,0.383700,Palantir Technologies Inc
INTC,US,0.378400,Intel Corp
BAC,US,0.376700,Bank of America Corp
CVX,US,0.352400,Chevron Corp
LRCX,US,0.348500,Lam Research Corp
MRK,US,0.337200,Merck & Co Inc
AMAT,US,0.336200,Applied Materials Inc
CAT,US,0.335300,Caterpillar Inc
0700.HK,HK,0.334600,Tencent Holdings Ltd
HSBA.L,GB,0.326100,HSBC Holdings PLC
UNH,US,0.323900,UnitedHealth Group Inc
GE,US,0.319900,General Electric Co
KO,US,0.318300,Coca-Cola Co/The
NFLX,US,0.314100,Netflix Inc
PG,US,0.310500,Procter & Gamble Co/The
HD,US,0.300800,Home Depot Inc/The
PANW,US,0.283800,Palo Alto Networks Inc
ROP.SW,CH,0.276500,Roche Holding AG
PM,US,0.268900,Philip Morris International Inc
NOVN.SW,CH,0.264200,Novartis AG
RTX,US,0.259300,RTX Corp
9988.HK,HK,0.258400,Alibaba Group Holding Ltd
RY.TO,CA,0.255300,Royal Bank of Canada
WFC,US,0.242900,Wells Fargo & Co
ORCL,US,0.236000,Oracle Corp
8306.T,JP,0.234100,Mitsubishi UFJ Financial Group Inc
SHEL.L,GB,0.233200,Shell PLC
