ticker,region
# ---------------------------------------------------------------------------
# Candidate universe for the VWRP (FTSE All-World) screener.
#
# VWRP holds ~3,750 stocks, but the top ~150 by weight drive most of the fund.
# Vanguard does not publish the full constituent list without an account gate,
# so this file lists global large-caps as CANDIDATES. The screener fetches live
# market caps, ranks them, and keeps the top N -- which approximates how a
# cap-weighted index like FTSE All-World actually allocates.
#
# Weights here are APPROXIMATE. Real index weights use free-float adjustment,
# so expect small differences vs Vanguard's published figures.
#
# Edit freely: add or remove tickers, one per line. Yahoo Finance ticker format
# (suffix = exchange, e.g. .L London, .T Tokyo, .PA Paris, .HK Hong Kong).
# Lines starting with # are ignored.
# ---------------------------------------------------------------------------

# ---- United States ----
NVDA,US
AAPL,US
MSFT,US
AMZN,US
GOOGL,US
AVGO,US
META,US
TSLA,US
MU,US
BRK-B,US
JPM,US
LLY,US
V,US
XOM,US
UNH,US
MA,US
COST,US
JNJ,US
PG,US
HD,US
WMT,US
ABBV,US
NFLX,US
BAC,US
CRM,US
ORCL,US
AMD,US
KO,US
CVX,US
MRK,US
PEP,US
TMO,US
ADBE,US
LIN,US
CSCO,US
ACN,US
MCD,US
ABT,US
WFC,US
IBM,US
GE,US
TXN,US
CAT,US
QCOM,US
DHR,US
VZ,US
PM,US
INTU,US
NOW,US
AXP,US
NEE,US
RTX,US
AMGN,US
DIS,US
PFE,US
UNP,US
T,US
LOW,US
SPGI,US
GS,US
ISRG,US
HON,US
BKNG,US
PGR,US
ETN,US
BLK,US
TJX,US
SYK,US
C,US
VRTX,US
MS,US
LMT,US
ADP,US
MDT,US
BSX,US
PLD,US
GILD,US
CB,US
MMC,US
DE,US
ADI,US
REGN,US
AMT,US
SCHW,US
MO,US
ELV,US
KLAC,US
LRCX,US
PANW,US
SO,US
ANET,US
INTC,US
CI,US
ZTS,US
DUK,US
APH,US
PYPL,US
EQIX,US
ITW,US
SHW,US
CME,US
WM,US
CVS,US
MCO,US
TT,US
GD,US
EOG,US
NOC,US
CL,US
BDX,US
APD,US
EMR,US
FDX,US
MAR,US
ORLY,US
CSX,US
NSC,US
AON,US
SLB,US
HCA,US
ROP,US
PCAR,US
TGT,US
NXPI,US
CARR,US
AFL,US
TFC,US
USB,US
MET,US
TRV,US
PSA,US
KMB,US
GM,US
F,US
MSI,US
ADSK,US
FTNT,US
CRWD,US
ABNB,US
UBER,US
PLTR,US
COIN,US
KKR,US
APO,US
WELL,US
MDLZ,US
HLT,US
CMG,US
DELL,US
VST,US
CEG,US

# ---- United Kingdom ----
AZN.L,UK
SHEL.L,UK
HSBA.L,UK
ULVR.L,UK
BATS.L,UK
RIO.L,UK
BP.L,UK
GSK.L,UK
DGE.L,UK
REL.L,UK
LSEG.L,UK
BARC.L,UK
LLOY.L,UK
NG.L,UK
PRU.L,UK
RR.L,UK
CPG.L,UK
AAL.L,UK
NWG.L,UK
IMB.L,UK

# ---- Europe (ex-UK) ----
ASML.AS,EU
NESN.SW,EU
RO.SW,EU
NOVN.SW,EU
NOVO-B.CO,EU
MC.PA,EU
SAP.DE,EU
TTE.PA,EU
SIE.DE,EU
OR.PA,EU
ALV.DE,EU
RMS.PA,EU
AIR.PA,EU
SAN.PA,EU
DTE.DE,EU
CS.PA,EU
SU.PA,EU
EL.PA,EU
BNP.PA,EU
AI.PA,EU
DG.PA,EU
KER.PA,EU
RI.PA,EU
SAF.PA,EU
MUV2.DE,EU
BAS.DE,EU
BAYN.DE,EU
BMW.DE,EU
MBG.DE,EU
VOW3.DE,EU
DBK.DE,EU
IFX.DE,EU
ADS.DE,EU
RWE.DE,EU
RHM.DE,EU
ABBN.SW,EU
UBSG.SW,EU
ZURN.SW,EU
CFR.SW,EU
GIVN.SW,EU
SREN.SW,EU
ISP.MI,EU
ENI.MI,EU
ENEL.MI,EU
UCG.MI,EU
RACE.MI,EU
STLA,EU
SAN.MC,EU
BBVA.MC,EU
IBE.MC,EU
ITX.MC,EU
INGA.AS,EU
PHIA.AS,EU
HEIA.AS,EU
AD.AS,EU
PRX.AS,EU
ERIC-B.ST,EU
VOLV-B.ST,EU
ATCO-A.ST,EU
INVE-B.ST,EU
SEB-A.ST,EU
EQNR.OL,EU
DNB.OL,EU
NDA-FI.HE,EU
NOKIA.HE,EU
MAERSK-B.CO,EU
DSV.CO,EU
CARL-B.CO,EU

# ---- Japan ----
7203.T,JP
6758.T,JP
8306.T,JP
6501.T,JP
9984.T,JP
6861.T,JP
8058.T,JP
8035.T,JP
4063.T,JP
9432.T,JP
8316.T,JP
6098.T,JP
7974.T,JP
6902.T,JP
4568.T,JP
8411.T,JP
6367.T,JP
9433.T,JP
8001.T,JP
6503.T,JP
7267.T,JP
6594.T,JP
4502.T,JP
6273.T,JP
8766.T,JP

# ---- Canada ----
RY.TO,CA
TD.TO,CA
ENB.TO,CA
CNR.TO,CA
BMO.TO,CA
BNS.TO,CA
CP.TO,CA
TRI.TO,CA
CNQ.TO,CA
SHOP.TO,CA
ATD.TO,CA
MFC.TO,CA

# ---- Australia ----
BHP.AX,AU
CBA.AX,AU
CSL.AX,AU
NAB.AX,AU
WBC.AX,AU
ANZ.AX,AU
WES.AX,AU
MQG.AX,AU
FMG.AX,AU
WDS.AX,AU
GMG.AX,AU
TLS.AX,AU

# ---- China / Hong Kong ----
0700.HK,CN
9988.HK,CN
0939.HK,CN
1398.HK,CN
0941.HK,CN
3690.HK,CN
1810.HK,CN
0005.HK,CN
2318.HK,CN
1299.HK,CN
0388.HK,CN
0883.HK,CN
1211.HK,CN
9618.HK,CN
9999.HK,CN
2628.HK,CN
0386.HK,CN

# ---- Taiwan ----
2330.TW,TW
2317.TW,TW
2454.TW,TW
2308.TW,TW
2382.TW,TW
2412.TW,TW
2881.TW,TW

# ---- South Korea ----
005930.KS,KR
000660.KS,KR
005380.KS,KR
051910.KS,KR
035420.KS,KR

# ---- India ----
RELIANCE.NS,IN
TCS.NS,IN
HDFCBANK.NS,IN
INFY.NS,IN
ICICIBANK.NS,IN
BHARTIARTL.NS,IN
ITC.NS,IN
LT.NS,IN
SBIN.NS,IN
HINDUNILVR.NS,IN

# ---- Latin America / other EM ----
VALE,EM
ITUB,EM
PBR,EM
ABEV,EM
NU,EM
MELI,EM
